geocodigo,nome_mesorregiao,nome_microrregiao,NM_MUNICIPIO
3500105,Presidente Prudente,Adamantina,ADAMANTINA
3500204,São José do Rio Preto,São José do Rio Preto,ADOLFO
3500303,Campinas,Pirassununga,AGUAÍ
3500709,Bauru,Bauru,AGUDOS
3500758,Itapetininga,Itapetininga,ALAMBARI
3500808,Presidente Prudente,Presidente Prudente,ALFREDO MARCONDES
3500907,São José do Rio Preto,São José do Rio Preto,ALTAIR
3501004,Ribeirão Preto,Batatais,ALTINÓPOLIS
3501103,Araçatuba,Birigui,ALTO ALEGRE
3501152,Macro Metropolitana Paulista,Sorocaba,ALUMÍNIO
3501509,Marília,Marília,ALVINLÂNDIA
3501608,Campinas,Campinas,AMERICANA
3501905,Campinas,Amparo,AMPARO
3501707,Araraquara,Araraquara,AMÉRICO BRASILIENSE
3501806,São José do Rio Preto,Votuporanga,AMÉRICO DE CAMPOS
3502002,Araraquara,São Carlos,ANALÂNDIA
3502101,Araçatuba,Andradina,ANDRADINA
3502200,Itapetininga,Itapetininga,ANGATUBA
3502309,Bauru,Botucatu,ANHEMBI
3502408,Presidente Prudente,Presidente Prudente,ANHUMAS
3502507,Vale do Paraíba Paulista,Guaratinguetá,APARECIDA
3502606,São José do Rio Preto,Jales,APARECIDA D OESTE
3502705,Itapetininga,Capão Bonito,APIAÍ
3503000,Ribeirão Preto,Ituverava,ARAMINA
3503109,Bauru,Avaré,ARANDU
3503158,Vale do Paraíba Paulista,Bananal,ARAPEÍ
3503208,Araraquara,Araraquara,ARARAQUARA
3503307,Piracicaba,Limeira,ARARAS
3502754,Macro Metropolitana Paulista,Sorocaba,ARAÇARIGUAMA
3502804,Araçatuba,Araçatuba,ARAÇATUBA
3502903,Macro Metropolitana Paulista,Sorocaba,ARAÇOIABA DA SERRA
3503356,Marília,Tupã,ARCO-ÍRIS
3503406,Bauru,Bauru,AREALVA
3503505,Vale do Paraíba Paulista,Bananal,AREIAS
3503604,Bauru,Bauru,AREIÓPOLIS
3503703,São José do Rio Preto,Catanduva,ARIRANHA
3503802,Campinas,Mogi Mirim,ARTUR NOGUEIRA
3503901,Metropolitana de São Paulo,Guarulhos,ARUJÁ
3503950,São José do Rio Preto,Jales,ASPÁSIA
3504008,Assis,Assis,ASSIS
3504107,Macro Metropolitana Paulista,Bragança Paulista,ATIBAIA
3504206,São José do Rio Preto,Auriflama,AURIFLAMA
3504404,Araçatuba,Birigui,AVANHANDAVA
3504503,Bauru,Avaré,AVARÉ
3504305,Bauru,Bauru,AVAÍ
3504602,São José do Rio Preto,São José do Rio Preto,BADY BASSITT
3504701,Bauru,Bauru,BALBINOS
3504909,Vale do Paraíba Paulista,Bananal,BANANAL
3505104,Araçatuba,Birigui,BARBOSA
3505203,Bauru,Jaú,BARIRI
3505302,Bauru,Jaú,BARRA BONITA
3505351,Itapetininga,Capão Bonito,BARRA DO CHAPÉU
3505401,Litoral Sul Paulista,Registro,BARRA DO TURVO
3505500,Ribeirão Preto,Barretos,BARRETOS
3505609,Ribeirão Preto,Ribeirão Preto,BARRINHA
3505708,Metropolitana de São Paulo,Osasco,BARUERI
3505005,Itapetininga,Itapeva,BARÃO DE ANTONINA
3505807,Marília,Tupã,BASTOS
3505906,Ribeirão Preto,Batatais,BATATAIS
3506003,Bauru,Bauru,BAURU
3506102,Ribeirão Preto,Jaboticabal,BEBEDOURO
