RRAS,DEPARTAMENTO REGIONAL DE SAÚDE,REGIÃO DE SAÚDE,Município
RRAS 10,3509 MARÍLIA,35091 ADAMANTINA,350010 Adamantina
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35156 JOSÉ BONIFÁCIO,350020 Adolfo
RRAS 15,3514 SÃO JOÃO DA BOA VISTA,35142 MANTIQUEIRA,350030 Aguaí
RRAS 15,3514 SÃO JOÃO DA BOA VISTA,35142 MANTIQUEIRA,350040 Águas da Prata
RRAS 15,3507 CAMPINAS,35074 CIRCUITO DAS ÁGUAS,350050 Águas de Lindóia
RRAS 09,3506 BAURU,35061 VALE DO JURUMIRIM,350055 Águas de Santa Bárbara
RRAS 14,3510 PIRACICABA,35103 PIRACICABA,350060 Águas de São Pedro
RRAS 09,3506 BAURU,35062 BAURU,350070 Agudos
RRAS 08,3516 SOROCABA,35161 ITAPETININGA,350075 Alambari
RRAS 11,3511 PRESIDENTE PRUDENTE,35112 ALTA SOROCABANA,350080 Alfredo Marcondes
RRAS 13,3505 BARRETOS,35051 NORTE-BARRETOS,350090 Altair
RRAS 13,3513 RIBEIRÃO PRETO,35133 VALE DAS CACHOEIRAS,350100 Altinópolis
RRAS 12,3502 ARAÇATUBA,35023 DOS CONSÓRCIOS DO DRS II,350110 Alto Alegre
RRAS 08,3516 SOROCABA,35163 SOROCABA,350115 Alumínio
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35157 VOTUPORANGA,350120 Álvares Florence
RRAS 11,3511 PRESIDENTE PRUDENTE,35112 ALTA SOROCABANA,350130 Álvares Machado
RRAS 10,3509 MARÍLIA,35093 MARÍLIA,350140 Álvaro de Carvalho
RRAS 10,3509 MARÍLIA,35093 MARÍLIA,350150 Alvinlândia
RRAS 15,3507 CAMPINAS,35072 REG METRO CAMPINAS,350160 Americana
RRAS 13,3503 ARARAQUARA,35031 CENTRAL DO DRS III,350170 Américo Brasiliense
RRAS 12,3515 SÃO JOSÉ DO RIO PRETO,35157 VOTUPORANGA,350180 Américo de Campos
RRAS 15,3507 CAMPINAS,35074 CIRCUITO DAS ÁGUAS,350190 Amparo
RRAS 14,3510 PIRACICABA,35104 RIO CLARO,350200 Analândia
RRAS 12,3502 ARAÇATUBA,35022 DOS LAGOS DO DRS II,350210 Andradina
RRAS 08,3516 SOROCABA,35161 ITAPETININGA,350220 Angatuba
RRAS 09,3506 BAURU,35063 POLO CUESTA,350230 Anhembi
RRAS 11,3511 PRESIDENTE PRUDENTE,35112 ALTA SOROCABANA,350240 Anhumas
RRAS 17,3517 TAUBATÉ,35172 CIRCUITO DA FÉ - VALE HISTÓRICO,350250 Aparecida
